node,latitude,longitude
378,-2.14279,-79.9679
379,-2.14279,-79.96787
380,-2.14279,-79.96784
381,-2.14279,-79.96781
382,-2.14279,-79.96778
383,-2.14279,-79.96775
384,-2.14279,-79.96772
385,-2.14279,-79.96769
386,-2.14279,-79.96766
387,-2.14279,-79.96763
388,-2.14279,-79.9676
389,-2.14279,-79.96757
390,-2.14279,-79.96754
391,-2.14279,-79.96751
392,-2.14279,-79.96748
393,-2.14279,-79.96745
394,-2.14279,-79.96742
395,-2.14279,-79.96739
396,-2.14279,-79.96736
397,-2.14279,-79.96733
398,-2.14279,-79.9673
399,-2.14279,-79.96727
400,-2.14279,-79.96724
401,-2.14279,-79.96721
402,-2.14279,-79.96718
403,-2.14279,-79.96715
404,-2.14279,-79.96712
405,-2.14279,-79.96709
406,-2.14279,-79.96706
407,-2.14279,-79.96703
408,-2.14276,-79.96801
409,-2.14276,-79.96799
410,-2.14276,-79.96796
411,-2.14276,-79.96793
412,-2.14276,-79.9679
413,-2.14276,-79.96787
414,-2.14276,-79.96784
415,-2.14276,-79.96781
416,-2.14276,-79.96778
417,-2.14276,-79.96775
418,-2.14276,-79.96772
419,-2.14276,-79.96769
420,-2.14276,-79.96766
421,-2.14276,-79.96763
422,-2.14276,-79.9676
423,-2.14276,-79.96757
424,-2.14276,-79.96754
425,-2.14276,-79.96751
426,-2.14276,-79.96748
427,-2.14276,-79.96745
428,-2.14276,-79.96742
429,-2.14276,-79.96739
430,-2.14276,-79.96736
431,-2.14276,-79.96733
432,-2.14276,-79.9673
433,-2.14276,-79.96727
434,-2.14276,-79.96724
435,-2.14276,-79.96721
436,-2.14276,-79.96718
437,-2.14276,-79.96715
438,-2.14276,-79.96712
439,-2.14276,-79.96709
440,-2.14276,-79.96706
441,-2.14276,-79.96703
442,-2.14274,-79.96801
443,-2.14274,-79.96799
444,-2.14274,-79.96796
445,-2.14274,-79.96793
446,-2.14274,-79.9679
447,-2.14274,-79.96787
448,-2.14274,-79.96784
449,-2.14274,-79.96781
450,-2.14274,-79.96778
451,-2.14274,-79.96775
452,-2.14274,-79.96772
453,-2.14274,-79.96769
454,-2.14274,-79.96766
455,-2.14274,-79.96763
456,-2.14274,-79.9676
457,-2.14274,-79.96757
458,-2.14274,-79.96754
459,-2.14274,-79.96751
460,-2.14274,-79.96748
461,-2.14274,-79.96745
462,-2.14274,-79.96742
463,-2.14274,-79.96739
464,-2.14274,-79.96736
465,-2.14274,-79.96733
466,-2.14274,-79.9673
467,-2.14274,-79.96727
468,-2.14274,-79.96724
469,-2.14274,-79.96721
470,-2.14274,-79.96718
471,-2.14274,-79.96715
472,-2.14274,-79.96712
473,-2.14274,-79.96709
474,-2.14274,-79.96706
475,-2.14274,-79.96703
